Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Wawona,5,37.53822,-119.6514,1208,14.4,19,30,23.2,1.5,5.1,14.3,8.2,8,12.1,22.2,15.7,309,232,14,150,-9999,-9999,-9999,-9999,27,6,0,2,318,656,1577,976,902,577,28,335,1,16,407,118,55,80,92,85,3,1,0,1,130,318,514,260,0,124,499,181,59,57,55,56,29.43,-2.22,-48.15,-19.54
Redwood Creek,4,36.68952,-118.9096,1677,12.4,15.6,26.5,20,0,3.6,12.7,7.2,6.2,9.6,19.6,13.6,201,201,9,123,-9999,-9999,-9999,-9999,43,12,0,4,220,463,1345,800,1059,786,76,467,0,4,227,60,43,70,92,82,6,3,0,2,123,274,453,231,6,100,444,163,59,62,60,61,24.22,0.82,-39.92,-15.7
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,14.5,18.7,29.8,22.9,4.5,7.4,15.7,10.8,9.5,13.1,22.8,16.8,149,226,9,86,-9999,-9999,-9999,-9999,18,4,0,1,428,743,1634,1074,761,496,22,273,5,28,455,160,77,88,92,89,1,0,0,0,128,302,498,251,48,115,489,200,68,65,60,64,20.28,-0.92,-46.27,-22.94
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,13.2,16.5,26.8,20.5,0.9,3.7,12.4,7.4,7,10.1,19.6,13.9,154,243,14,90,-9999,-9999,-9999,-9999,34,9,0,3,267,501,1344,826,981,739,78,439,0,4,227,62,51,72,92,83,3,2,0,1,130,290,465,238,44,94,451,187,60,60,58,60,23.98,2.9,-40.82,-20.02
West Fork Mojave River,2,34.28425,-117.3754,1087,17.3,22.2,31.2,24.8,5,7.7,15.2,11.8,11.2,14.9,23.2,18.3,121,149,24,69,-9999,-9999,-9999,-9999,11,2,0,1,548,906,1674,1204,629,354,18,202,10,59,490,215,80,89,92,90,0,0,0,0,164,372,545,282,70,229,520,214,61,56,55,61,7.97,-16.14,-50,-28.22
Mill Creek,12,34.07808,-116.8756,1992,11.4,15.5,24.3,18.7,-1.6,1.4,10.3,5.2,4.9,8.4,17.3,12,107,215,44,82,-9999,-9999,-9999,-9999,60,17,0,7,155,377,1134,666,1178,891,169,587,0,0,105,32,31,55,91,74,5,7,0,2,133,295,436,239,45,146,391,160,57,55,58,58,19.75,1.4,-33.13,-18.26
Whitewater Canyon,17,33.99329,-116.6627,696,20.5,26.1,35.4,28.9,8.1,11.1,18.9,14.8,14.3,18.6,27.2,21.8,31,66,22,26,-9999,-9999,-9999,-9999,5,1,0,0,821,1238,2036,1523,383,153,3,93,46,192,847,428,89,92,92,91,0,0,0,0,185,424,607,325,154,358,586,298,62,56,55,60,-14.82,-31.39,-61.04,-40.89
Sweetwater River,1,32.89913,-116.5865,1386,15.1,19.4,28.7,23.5,2.8,5.7,13.4,9.5,9,12.5,21,16.5,82,123,31,38,-9999,-9999,-9999,-9999,20,4,0,1,387,696,1476,1042,813,536,48,288,2,17,327,142,66,83,92,88,1,0,0,0,159,342,509,289,78,218,477,251,61,58,56,58,2.53,-14.52,-43.26,-31.14
Kitchen Creek,15,32.75206,-116.4522,1173,16.8,21.1,30.5,24.9,2.4,4.5,11.4,8.3,9.6,12.8,21,16.6,60,80,30,25,-9999,-9999,-9999,-9999,17,4,0,1,431,718,1471,1053,755,511,50,277,3,17,323,141,63,79,91,86,0,0,0,0,177,378,567,316,118,298,537,291,55,51,47,52,-6.96,-22.92,-51.34,-36.75
Hauser Creek,14,32.65822,-116.5323,788,19.4,23.4,32.6,27.2,3.5,5.8,12.2,9.3,11.4,14.6,22.4,18.3,46,49,25,20,-9999,-9999,-9999,-9999,10,2,0,1,571,877,1597,1201,603,373,29,199,11,46,431,210,71,84,92,88,0,0,0,0,199,414,608,344,153,364,583,323,52,49,45,49,-14.73,-29.77,-57,-41.82
