Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Wawona,5,37.53822,-119.6514,1208,13,17.7,29.9,22.6,0.4,4.1,13.6,7.9,6.7,10.9,21.8,15.3,259,372,18,176,-9999,-9999,-9999,-9999,36,11,0,3,243,576,1543,943,1014,679,44,389,0,18,391,133,46,72,92,83,4,5,0,1,123,306,516,258,31,135,499,168,59,58,54,56,47.36,14.19,-48.35,-16.39
Redwood Creek,4,36.68952,-118.9096,1677,10.7,14.7,26.8,20,-2.2,2.4,12.2,7.1,4.3,8.6,19.5,13.6,231,334,6,121,-9999,-9999,-9999,-9999,69,22,0,5,134,410,1333,800,1227,882,94,497,0,6,228,84,27,61,92,80,11,15,0,1,115,270,464,233,30,121,457,131,57,60,57,61,36.09,15.75,-41.97,-16.08
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,12.7,17.8,30.3,23,2.1,6.2,15.3,10.9,7.4,12,22.8,17,234,330,6,69,-9999,-9999,-9999,-9999,30,8,0,2,292,668,1637,1085,947,587,27,294,0,29,470,189,61,83,92,89,3,2,0,0,122,300,512,253,34,137,507,185,65,64,58,64,29.4,10.46,-49.02,-25.41
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,11.5,15.8,27.3,20.6,-1.3,2.6,12.1,7.5,5.1,9.2,19.7,14.1,260,332,8,70,-9999,-9999,-9999,-9999,55,17,0,4,164,447,1351,841,1156,825,87,455,0,6,240,90,33,63,92,82,9,9,0,1,122,287,478,241,32,127,469,171,58,58,56,60,34.05,13.24,-43.53,-22.57
West Fork Mojave River,2,34.28425,-117.3754,1087,15.4,21.6,31.8,24.8,2.8,6.1,15.1,11.3,9.1,13.9,23.4,18,222,213,24,62,-9999,-9999,-9999,-9999,19,4,0,1,401,821,1696,1181,802,443,20,232,3,52,520,218,66,82,92,89,1,0,0,0,153,375,558,286,0,197,533,223,60,54,54,60,7.67,-9.97,-52.35,-29.61
Mill Creek,12,34.07808,-116.8756,1992,8.9,15.1,24.9,18.8,-4,-0.1,10.3,4.9,2.5,7.5,17.6,11.9,196,250,54,71,-9999,-9999,-9999,-9999,111,31,0,8,78,342,1162,661,1392,973,157,603,0,2,123,42,17,44,91,70,26,24,0,1,118,298,449,241,0,128,395,171,55,52,57,57,19.09,5.34,-34.16,-19.79
Whitewater Canyon,17,33.99329,-116.6627,696,18,25.9,36,29,5.8,9.8,18.9,14.6,11.9,17.8,27.4,21.8,62,71,27,23,-9999,-9999,-9999,-9999,9,1,0,0,620,1170,2062,1519,563,215,3,97,17,182,873,432,84,91,92,91,0,0,0,0,168,432,621,328,105,361,594,305,62,53,54,59,-12.75,-31.88,-63.22,-41.97
Sweetwater River,1,32.89913,-116.5865,1386,13.2,18.4,29.1,23.6,0.8,3.8,12.9,8.5,7,11.1,21,16.1,192,260,20,56,-9999,-9999,-9999,-9999,34,8,0,2,266,589,1474,1005,987,656,54,322,0,12,333,139,50,73,92,86,3,2,0,0,147,337,523,297,18,144,502,241,60,55,54,55,12.97,0.73,-46.63,-30.7
Kitchen Creek,15,32.75206,-116.4522,1173,14.9,20.3,31,25.1,0.6,2.8,11,7.4,7.8,11.5,21,16.2,153,183,23,38,-9999,-9999,-9999,-9999,28,7,0,1,312,618,1471,1020,918,622,56,305,1,13,332,136,48,67,91,83,2,1,0,0,164,375,580,324,39,193,556,285,55,48,45,49,3.45,-11.38,-54.25,-37.03
Hauser Creek,14,32.65822,-116.5323,788,17.5,22.5,32.9,27.4,1.6,3.9,11.7,8.3,9.5,13.2,22.3,17.8,115,112,14,28,-9999,-9999,-9999,-9999,17,4,0,1,431,759,1593,1162,762,482,33,225,4,29,432,197,56,75,91,86,1,0,0,0,185,408,620,351,71,296,606,323,51,46,43,46,-6.58,-22.44,-60.35,-42.65
