Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Wawona,5,37.53822,-119.6514,1208,10,17.7,30.5,21.9,0.5,4.8,14.5,7.3,5.3,11.2,22.5,14.6,1522,312,14,204,-9999,-9999,-9999,-9999,54,7,0,2,168,596,1613,876,1145,642,28,391,0,15,447,72,48,78,92,84,60,2,0,1,100,299,523,247,0,120,509,133,68,60,55,56,118.47,8.41,-50.03,-11
Redwood Creek,4,36.68952,-118.9096,1677,8,14.8,27.4,19,-1.5,3,13.8,5.9,3.3,8.9,20.6,12.5,1325,258,10,193,-9999,-9999,-9999,-9999,88,14,0,5,90,412,1434,699,1324,851,56,542,0,3,292,32,32,66,92,79,107,8,0,2,94,264,462,222,0,84,452,93,67,62,60,60,97.01,8.27,-41.73,-6.63
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,10.1,17.9,30.6,21.6,2.9,6.7,17.2,9.6,6.5,12.3,23.9,15.6,1110,155,12,99,-9999,-9999,-9999,-9999,38,5,0,2,230,682,1736,966,1033,554,15,321,0,20,551,99,67,86,92,89,24,1,0,0,97,293,500,239,0,144,488,151,76,65,62,63,73.37,-6.93,-47.2,-19.02
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,8.9,15.8,27.6,19.3,-0.6,3.1,13.8,6.2,4.1,9.4,20.7,12.8,1200,157,14,103,-9999,-9999,-9999,-9999,71,11,0,4,118,449,1446,723,1247,799,53,514,0,3,302,32,38,68,92,80,69,3,0,1,101,282,468,226,0,134,453,139,68,60,60,60,81.84,-4.16,-41.95,-16.32
West Fork Mojave River,2,34.28425,-117.3754,1087,12.7,22,32.2,23.8,3.7,7.3,16.2,11.3,8.2,14.6,24.2,17.5,798,67,19,33,-9999,-9999,-9999,-9999,25,2,0,1,340,884,1765,1138,886,366,11,203,0,48,580,154,72,89,92,91,10,0,0,0,125,370,556,268,0,304,536,235,70,56,56,62,40.01,-24.1,-52.92,-28.88
Mill Creek,12,34.07808,-116.8756,1992,6.8,15.6,25.6,17.9,-3,0.9,11.3,4.7,1.9,8.2,18.5,11.3,990,53,29,41,-9999,-9999,-9999,-9999,128,15,0,5,63,359,1239,599,1447,896,114,627,0,0,158,15,22,52,92,75,142,1,0,1,100,297,453,227,0,245,425,186,65,54,58,59,56.71,-15.24,-37.53,-20.76
Whitewater Canyon,17,33.99329,-116.6627,696,16.1,26.3,36.8,28.2,7,10.7,19.9,14.4,11.6,18.5,28.3,21.3,352,9,14,23,-9999,-9999,-9999,-9999,10,1,0,0,587,1234,2144,1474,602,142,2,76,14,179,954,365,88,92,92,91,1,0,0,0,143,429,630,312,0,419,617,290,71,55,55,60,3.53,-37.55,-66.89,-38.26
Sweetwater River,1,32.89913,-116.5865,1386,11.4,19.1,29.5,22.9,2.8,5.4,14.3,9,7.1,12.3,21.9,15.9,700,71,23,19,-9999,-9999,-9999,-9999,32,4,0,1,271,676,1555,994,977,551,33,289,0,13,393,93,66,83,92,88,11,0,0,0,124,335,518,279,0,264,495,260,71,58,57,58,36.24,-18.97,-45.91,-31.03
Kitchen Creek,15,32.75206,-116.4522,1173,13.3,20.9,31.3,24.4,2.7,4.4,12.4,7.9,8,12.6,21.8,16.1,498,55,25,15,-9999,-9999,-9999,-9999,26,3,0,1,322,704,1549,1010,902,523,36,274,0,14,389,94,65,79,92,87,5,0,0,0,142,372,576,306,0,317,552,291,65,51,48,52,18.52,-24.63,-53.72,-35.68
Hauser Creek,14,32.65822,-116.5323,788,15.9,23.1,33.2,26.6,3.5,5.6,13.1,8.8,9.7,14.4,23.2,17.7,352,29,19,11,-9999,-9999,-9999,-9999,16,2,0,1,445,857,1670,1152,743,383,20,191,3,36,494,156,72,84,92,88,2,0,0,0,165,406,615,334,0,378,596,323,61,49,46,49,4.04,-30.86,-59.26,-40.58
