"Site","Year","SiteYear","Latitude","Longitude","Elevation","Region","RegionRank","lambda","surv.int","surv.slope","growth.int","growth.slope","growth.sd","flowering.int","flowering.slope","fruit.int","fruit.slope","recruit.size.mean","recruit.size.sd","seed.ct","recruit.number","fruits.per.site","total.seeds.per.site","establishment.prob"
"Kitchen Creek","2011","Kitchen Creek:2011",32.75206,-116.4522,1173,"S1",1,0.85,-3.23,0.5,1.41,0.61,1.1,-7.58,1.85,-0.24,0.65,1.73,1.36,2514,8,10,25140,0.000318217979315831
"Kitchen Creek","2012","Kitchen Creek:2012",32.75206,-116.4522,1173,"S1",1,0.17,-4.58,0.5,2.23,0.56,1.1,-7.01,1.85,-1.11,0.88,0,0,2514,0,461,1158954,0
"Kitchen Creek","2013","Kitchen Creek:2013",32.75206,-116.4522,1173,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kitchen Creek","2016","Kitchen Creek:2016",32.75206,-116.4522,1173,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kitchen Creek","2018","Kitchen Creek:2018",32.75206,-116.4522,1173,"S1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kitchen Creek","2014","Kitchen Creek:2014",32.75206,-116.4522,1173,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kitchen Creek","2015","Kitchen Creek:2015",32.75206,-116.4522,1173,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kitchen Creek","2017","Kitchen Creek:2017",32.75206,-116.4522,1173,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sweetwater River","2010","Sweetwater River:2010",32.89913,-116.5865,1386,"S1",1,0.61,-2.92,0.5,2.06,0.66,1.1,-7.21,1.85,0.07,0.59,3.64,0.8,2027,10,5471,11089717,9.01736266128342e-07
"Sweetwater River","2011","Sweetwater River:2011",32.89913,-116.5865,1386,"S1",1,0.51,-2.49,0.5,1.71,0.6,1.1,-7.71,1.85,0.61,0.42,2.77,1.4,2027,10,3574,7244498,1.38035789367324e-06
"Sweetwater River","2012","Sweetwater River:2012",32.89913,-116.5865,1386,"S1",1,0.29,-3.22,0.5,1.99,0.5,1.1,-7.82,1.85,-0.26,0.64,2.21,0.37,2027,2,3548,7191796,2.78094651183098e-07
"Sweetwater River","2013","Sweetwater River:2013",32.89913,-116.5865,1386,"S1",1,0.64,-2.1,0.5,2.1,0.55,1.1,-6.66,1.85,-0.02,0.61,2.77,1.1,2027,4,786,1593222,2.5106356804011e-06
"Sweetwater River","2014","Sweetwater River:2014",32.89913,-116.5865,1386,"S1",1,0.43,-3.08,0.5,1.74,0.57,1.1,-6.79,1.85,-0.13,0.61,2.37,0.6,2027,18,393,796611,2.25957211236099e-05
"Sweetwater River","2015","Sweetwater River:2015",32.89913,-116.5865,1386,"S1",1,0.24,-3.71,0.5,2.24,0.5,1.1,-7.54,1.85,0.17,0.53,2.64,0,2027,1,6,12162,8.2223318533136e-05
"Sweetwater River","2016","Sweetwater River:2016",32.89913,-116.5865,1386,"S1",1,50.32,-1.65,0.5,2.32,0.5,1.1,-7.59,1.85,-0.54,0.74,1.35,1.14,2027,2468,14,28378,0.0869687786313341
"Sweetwater River","2017","Sweetwater River:2017",32.89913,-116.5865,1386,"S1",1,3.46,-3.86,0.5,2.35,0.38,1.1,-8.26,1.85,-0.3,0.64,3.13,1.24,2027,52,49,99323,0.000523544395557927
"Sweetwater River","2018","Sweetwater River:2018",32.89913,-116.5865,1386,"S1",1,0.3,-4.67,0.5,1.78,0.53,1.1,-8.76,1.85,-0.32,0.69,1.26,0.89,2027,281,189,383103,0.000733484206597181
"Whitewater Canyon","2010","Whitewater Canyon:2010",33.99329,-116.6627,696,"S2",2,0.04,-5.75,0.5,1.79,0.54,1.1,-3.32,1.85,1.37,0.43,0,0,1104,1,2291,2529264,3.95371934286022e-07
"Whitewater Canyon","2011","Whitewater Canyon:2011",33.99329,-116.6627,696,"S2",2,0.58,-2.1,0.5,1.94,0.53,1.1,-4.82,1.85,1.91,0.26,2.39,0.97,1104,7,1088,1201152,5.82773870417732e-06
"Whitewater Canyon","2012","Whitewater Canyon:2012",33.99329,-116.6627,696,"S2",2,0.54,-2.53,0.5,1.64,0.59,1.1,-6.19,1.85,1.04,0.49,4.08,1.05,1104,5,1108,1223232,4.08753204625124e-06
"Whitewater Canyon","2013","Whitewater Canyon:2013",33.99329,-116.6627,696,"S2",2,0.32,-3.38,0.5,2.02,0.44,1.1,-5.84,1.85,1.29,0.46,3.98,1.02,1104,4,778,858912,4.65705450616594e-06
"Whitewater Canyon","2014","Whitewater Canyon:2014",33.99329,-116.6627,696,"S2",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whitewater Canyon","2016","Whitewater Canyon:2016",33.99329,-116.6627,696,"S2",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whitewater Canyon","2017","Whitewater Canyon:2017",33.99329,-116.6627,696,"S2",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whitewater Canyon","2018","Whitewater Canyon:2018",33.99329,-116.6627,696,"S2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whitewater Canyon","2015","Whitewater Canyon:2015",33.99329,-116.6627,696,"S2",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mill Creek","2010","Mill Creek:2010",34.07808,-116.8756,1992,"S2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mill Creek","2011","Mill Creek:2011",34.07808,-116.8756,1992,"S2",2,0.05,-4.73,0.5,2.02,0.2,1.1,-7.07,1.85,1.59,0.33,1.16,1.18,1557,14,1986,3092202,4.52751793058798e-06
"Mill Creek","2012","Mill Creek:2012",34.07808,-116.8756,1992,"S2",2,0.95,-2.82,0.5,3.14,0.46,1.1,-7.08,1.85,0.73,0.56,1.79,1.59,1557,48,789,1228473,3.9072897817046e-05
"Mill Creek","2014","Mill Creek:2014",34.07808,-116.8756,1992,"S2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mill Creek","2015","Mill Creek:2015",34.07808,-116.8756,1992,"S2",2,178.19,-3.16,0.5,2.54,0.54,1.1,-7.51,1.85,1.15,0.45,2.73,1.36,1557,219,6,9342,0.0234425176621708
"Mill Creek","2016","Mill Creek:2016",34.07808,-116.8756,1992,"S2",2,4.1,-1.99,0.5,3.83,0.34,1.1,-5.09,1.85,0.45,0.65,2.17,1.45,1557,334,905,1409085,0.000237033252074928
"Mill Creek","2017","Mill Creek:2017",34.07808,-116.8756,1992,"S2",2,1.27,-3.7,0.5,2.63,0.5,1.1,-5.98,1.85,0.69,0.55,2.69,1.99,1557,141,1819,2832183,4.9784918559288e-05
"Mill Creek","2018","Mill Creek:2018",34.07808,-116.8756,1992,"S2",2,1.13,-3.3,0.5,3.72,0.39,1.1,-9.39,1.85,0.67,0.6,2.43,1.65,1557,13,148,230436,5.64147962991894e-05
"West Fork Mojave River","2010","West Fork Mojave River:2010",34.28425,-117.3754,1087,"S2",2,0.37,-3.22,0.5,2.02,0.46,1.1,-8.79,1.85,0.78,0.42,3.77,0.39,1675,4,130,217750,1.83696900114811e-05
"West Fork Mojave River","2011","West Fork Mojave River:2011",34.28425,-117.3754,1087,"S2",2,1.71,-1.37,0.5,2.27,0.51,1.1,-7.45,1.85,1.32,0.24,3.65,0.88,1675,26,131,219425,0.000118491511906118
"West Fork Mojave River","2012","West Fork Mojave River:2012",34.28425,-117.3754,1087,"S2",2,0.72,-3.25,0.5,2.07,0.54,1.1,-7.5,1.85,0.45,0.47,4.15,0.93,1675,6,126,211050,2.84292821606254e-05
"West Fork Mojave River","2013","West Fork Mojave River:2013",34.28425,-117.3754,1087,"S2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Fork Mojave River","2014","West Fork Mojave River:2014",34.28425,-117.3754,1087,"S2",2,0.7,-2.76,0.5,3.05,0.42,1.1,-9.22,1.85,0.59,0.44,3.17,0.62,1675,7,117,195975,3.57188416889909e-05
"West Fork Mojave River","2015","West Fork Mojave River:2015",34.28425,-117.3754,1087,"S2",2,2.54,-2.43,0.5,2.62,0.59,1.1,-8.47,1.85,0.88,0.36,1.84,2.05,1675,30,34,56950,0.000526777875329236
"West Fork Mojave River","2016","West Fork Mojave River:2016",34.28425,-117.3754,1087,"S2",2,1.27,-2.31,0.5,1.9,0.63,1.1,-7,1.85,0.17,0.56,7.22,1.4,1675,2,188,314900,6.35122261035249e-06
"West Fork Mojave River","2017","West Fork Mojave River:2017",34.28425,-117.3754,1087,"S2",2,0.36,-3.57,0.5,1.91,0.46,1.1,-7.73,1.85,0.41,0.46,5,1.89,1675,11,1186,1986550,5.53723792504593e-06
"West Fork Mojave River","2018","West Fork Mojave River:2018",34.28425,-117.3754,1087,"S2",2,1.56,-2.85,0.5,2.84,0.46,1.1,-8.38,1.85,0.39,0.51,1.27,1.68,1675,277,316,529300,0.000523332703570754
"South Fork Middle Fork Tule","2012","South Fork Middle Fork Tule:2012",36.13756,-118.5741,1664,"C1",3,1.64,-1.42,0.5,2.34,0.59,1.1,-8,1.85,0.07,0.51,1.54,1.08,1473,121,215,316695,0.000382071077850929
"South Fork Middle Fork Tule","2013","South Fork Middle Fork Tule:2013",36.13756,-118.5741,1664,"C1",3,1.47,-1.05,0.5,2.18,0.58,1.1,-7.82,1.85,0.31,0.48,0.41,1.28,1473,362,543,799839,0.000452591083955646
"South Fork Middle Fork Tule","2014","South Fork Middle Fork Tule:2014",36.13756,-118.5741,1664,"C1",3,0.87,-1.41,0.5,2.51,0.43,1.1,-7.82,1.85,0.2,0.48,1.53,1.44,1473,29,427,628971,4.61070542203059e-05
"South Fork Middle Fork Tule","2015","South Fork Middle Fork Tule:2015",36.13756,-118.5741,1664,"C1",3,4.47,-1.84,0.5,2.11,0.54,1.1,-9.67,1.85,0.49,0.4,2.78,1.59,1473,109,41,60393,0.00180484493235971
"South Fork Middle Fork Tule","2017","South Fork Middle Fork Tule:2017",36.13756,-118.5741,1664,"C1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Fork Middle Fork Tule","2018","South Fork Middle Fork Tule:2018",36.13756,-118.5741,1664,"C1",3,0.64,-4.05,0.5,1.56,0.56,1.1,-8.55,1.85,0.01,0.56,2.11,1.52,1473,59,146,215058,0.00027434459541147
"North Fork Middle Fork Tule","2010","North Fork Middle Fork Tule:2010",36.20081,-118.6509,1284,"C1",3,0.89,-2.97,0.5,2.36,0.51,1.1,-10.24,1.85,0.54,0.47,0.14,1.1,1473,58,12,17676,0.00328128535867843
"North Fork Middle Fork Tule","2011","North Fork Middle Fork Tule:2011",36.20081,-118.6509,1284,"C1",3,0.81,-1.89,0.5,2.27,0.53,1.1,-9.21,1.85,1.07,0.29,-0.04,0.83,1473,19,42,61866,0.000307115378398474
"North Fork Middle Fork Tule","2012","North Fork Middle Fork Tule:2012",36.20081,-118.6509,1284,"C1",3,1.17,-1.46,0.5,2.35,0.53,1.1,-7.77,1.85,0.21,0.52,0.62,1.17,1473,105,312,459576,0.000228471460650687
"North Fork Middle Fork Tule","2013","North Fork Middle Fork Tule:2013",36.20081,-118.6509,1284,"C1",3,1.03,-1.39,0.5,0.89,0.82,1.1,-7.59,1.85,0.45,0.49,0.92,1.04,1473,119,462,680526,0.000174864736982863
"North Fork Middle Fork Tule","2014","North Fork Middle Fork Tule:2014",36.20081,-118.6509,1284,"C1",3,0.99,-1.63,0.5,2.45,0.5,1.1,-6.3,1.85,0.34,0.49,0.97,1.43,1473,49,428,630444,7.77230015671495e-05
"North Fork Middle Fork Tule","2015","North Fork Middle Fork Tule:2015",36.20081,-118.6509,1284,"C1",3,1.42,-2.47,0.5,2.16,0.53,1.1,-7.86,1.85,0.64,0.41,0.67,1.24,1473,142,46,67758,0.0020956934974468
"North Fork Middle Fork Tule","2017","North Fork Middle Fork Tule:2017",36.20081,-118.6509,1284,"C1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Fork Middle Fork Tule","2018","North Fork Middle Fork Tule:2018",36.20081,-118.6509,1284,"C1",3,0.6,-2.38,0.5,1.62,0.52,1.1,-7.36,1.85,0.15,0.57,0.78,1.23,1473,61,213,313749,0.000194422930431651
"Redwood Creek","2010","Redwood Creek:2010",36.68952,-118.9096,1677,"C1",3,0.58,-2.65,0.5,1.89,0.62,1.1,-9.21,1.85,0.71,0.44,-0.04,1.18,1289,87,596,768244,0.000113245271033682
"Redwood Creek","2011","Redwood Creek:2011",36.68952,-118.9096,1677,"C1",3,2.16,-1.74,0.5,1.57,0.74,1.1,-9.97,1.85,1.25,0.27,2.35,1.28,1289,34,19,24491,0.00138826507696705
"Redwood Creek","2012","Redwood Creek:2012",36.68952,-118.9096,1677,"C1",3,0.66,-2.74,0.5,1.96,0.65,1.1,-7.6,1.85,0.38,0.49,1.35,1.36,1289,54,1308,1686012,3.20282417918734e-05
"Redwood Creek","2013","Redwood Creek:2013",36.68952,-118.9096,1677,"C1",3,0.9,-1.5,0.5,1.98,0.57,1.1,-7.6,1.85,0.63,0.46,-0.11,0.92,1289,353,1493,1924477,0.000183426458201371
"Redwood Creek","2014","Redwood Creek:2014",36.68952,-118.9096,1677,"C1",3,0.6,-2.63,0.5,1.22,0.56,1.1,-8.23,1.85,0.52,0.46,1.93,1.16,1289,98,265,341585,0.000286897843874877
"Redwood Creek","2016","Redwood Creek:2016",36.68952,-118.9096,1677,"C1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Redwood Creek","2017","Redwood Creek:2017",36.68952,-118.9096,1677,"C1",3,6.76,-2.14,0.5,2.59,0.59,1.1,-8.14,1.85,0.35,0.49,3.27,1.12,1289,88,49,63161,0.0013932648311458
"Redwood Creek","2018","Redwood Creek:2018",36.68952,-118.9096,1677,"C1",3,0.73,-2.64,0.5,2.09,0.49,1.1,-6.43,1.85,0.33,0.54,2.08,1.7,1289,102,1356,1747884,5.83562753592344e-05
"Wawona","2010","Wawona:2010",37.53822,-119.6514,1208,"C2",4,1.19,-1.08,0.5,2,0.6,1.1,-7.91,1.85,-0.21,0.62,-0.23,1,1721,264,546,939666,0.000280950891061292
"Wawona","2011","Wawona:2011",37.53822,-119.6514,1208,"C2",4,0.72,-2.2,0.5,2.56,0.47,1.1,-7.85,1.85,0.33,0.44,0.39,1.2,1721,117,728,1252888,9.3384245040259e-05
"Wawona","2012","Wawona:2012",37.53822,-119.6514,1208,"C2",4,0.91,-2.32,0.5,2.48,0.51,1.1,-7.5,1.85,-0.54,0.67,0.37,1.09,1721,321,728,1252888,0.000256208056905326
"Wawona","2013","Wawona:2013",37.53822,-119.6514,1208,"C2",4,0.9,-1.78,0.5,1.96,0.68,1.1,-7.78,1.85,-0.29,0.64,0.17,1.22,1721,260,4523,7784083,3.34014937918827e-05
"Wawona","2014","Wawona:2014",37.53822,-119.6514,1208,"C2",4,0.8,-2.25,0.5,2.93,0.5,1.1,-7.44,1.85,-0.4,0.64,2.44,1.54,1721,47,3535,6083735,7.72551730146037e-06
"Wawona","2015","Wawona:2015",37.53822,-119.6514,1208,"C2",4,2.06,-2.38,0.5,2.19,0.53,1.1,-7.32,1.85,-0.11,0.56,2.16,2.11,1721,104,271,466391,0.000222988865565588
"Wawona","2016","Wawona:2016",37.53822,-119.6514,1208,"C2",4,1.05,-2.19,0.5,2.54,0.48,1.1,-7.83,1.85,-0.82,0.76,0.93,1.37,1721,542,1764,3035844,0.000178533547837109
"Wawona","2017","Wawona:2017",37.53822,-119.6514,1208,"C2",4,2.01,-2.63,0.5,2.26,0.57,1.1,-9.67,1.85,-0.58,0.66,2.74,1.33,1721,123,150,258150,0.000476467170249855
"Wawona","2018","Wawona:2018",37.53822,-119.6514,1208,"C2",4,0.74,-2.44,0.5,1.98,0.57,1.1,-8.08,1.85,-0.6,0.71,2.35,1.67,1721,76,1930,3321530,2.2881021697832e-05
"Buck Meadows","2010","Buck Meadows:2010",37.77722,-120.0633,830,"C2",4,1.31,-1.53,0.5,2.21,0.6,1.1,-8.34,1.85,1.62,0.13,0.75,1.25,1956,29,28,54768,0.000529506281040023
"Buck Meadows","2011","Buck Meadows:2011",37.77722,-120.0633,830,"C2",4,0.89,-1.91,0.5,3.09,0.38,1.1,-7.79,1.85,2.16,-0.05,2.41,1.2,1956,14,95,185820,7.53417285545151e-05
"Buck Meadows","2014","Buck Meadows:2014",37.77722,-120.0633,830,"C2",4,0.53,-2.24,0.5,2.58,0.42,1.1,-8.12,1.85,1.43,0.15,4.51,0,1956,1,33,64548,1.54923467806903e-05
"Buck Meadows","2015","Buck Meadows:2015",37.77722,-120.0633,830,"C2",4,62.12,-1.84,0.5,1.89,0.55,1.1,-8.94,1.85,1.72,0.07,2.04,1.25,1956,421,2,3912,0.107617586912065
"Buck Meadows","2016","Buck Meadows:2016",37.77722,-120.0633,830,"C2",4,5.6,-3.42,0.5,2.55,0.59,1.1,-8.09,1.85,1.02,0.27,1.56,1.21,1956,942,54,105624,0.00891842763008407
"Buck Meadows","2017","Buck Meadows:2017",37.77722,-120.0633,830,"C2",4,3.73,-3.47,0.5,2.1,0.58,1.1,-8.06,1.85,1.26,0.18,3.41,1.28,1956,138,90,176040,0.000783912747102931
"Buck Meadows","2018","Buck Meadows:2018",37.77722,-120.0633,830,"C2",4,0.72,-2.13,0.5,1.65,0.55,1.1,-9.62,1.85,1.24,0.22,1.78,1.24,1956,190,371,725676,0.000261824836428379
"Carlon","2010","Carlon:2010",37.81006,-119.8568,1320,"C2",4,1,-1.68,0.5,2.65,0.48,1.1,-8.32,1.85,-0.68,0.7,2.05,1.65,1226,26,512,627712,4.14202691680261e-05
"Carlon","2011","Carlon:2011",37.81006,-119.8568,1320,"C2",4,0.3,-3.55,0.5,2.44,0.25,1.1,-8.87,1.85,-0.14,0.52,1.93,1.62,1226,53,309,378834,0.000139902965414931
"Carlon","2014","Carlon:2014",37.81006,-119.8568,1320,"C2",4,1.03,-1.85,0.5,2.77,0.5,1.1,-7.47,1.85,-0.87,0.72,2.59,1.22,1226,35,840,1029840,3.39858618814573e-05
"Carlon","2015","Carlon:2015",37.81006,-119.8568,1320,"C2",4,0.48,-3.24,0.5,2.24,0.55,1.1,-8.53,1.85,-0.58,0.64,2.36,1.36,1226,22,696,853296,2.57823779790366e-05
"Carlon","2016","Carlon:2016",37.81006,-119.8568,1320,"C2",4,0.29,-4.83,0.5,2.35,0.48,1.1,-8.34,1.85,-1.29,0.84,1.97,0.89,1226,54,154,188804,0.000286010889599797
"Carlon","2017","Carlon:2017",37.81006,-119.8568,1320,"C2",4,10.8,-3.57,0.5,1.97,0.55,1.1,-8.25,1.85,-1.05,0.75,2.39,1.14,1226,30,2,2452,0.0122349102773246
"Carlon","2018","Carlon:2018",37.81006,-119.8568,1320,"C2",4,0.87,-1.89,0.5,2.05,0.57,1.1,-8.6,1.85,-1.07,0.8,1.63,0.66,1226,17,187,229262,7.4150971377725e-05
"Rainbow Pool","2010","Rainbow Pool:2010",37.81878,-120.0073,833,"C2",4,1.14,-2.33,0.5,2.3,0.55,1.1,-7.89,1.85,1.21,0.32,1.58,1.56,2144,59,176,377344,0.000156356004070556
"Rainbow Pool","2011","Rainbow Pool:2011",37.81878,-120.0073,833,"C2",4,0.95,-1.38,0.5,2.36,0.53,1.1,-6.69,1.85,1.75,0.14,0.23,1.39,2144,16,99,212256,7.53806723955978e-05
"Rainbow Pool","2014","Rainbow Pool:2014",37.81878,-120.0073,833,"C2",4,0.8,-2.25,0.5,1.69,0.74,1.1,-6.19,1.85,1.01,0.34,0.63,1.34,2144,49,573,1228512,3.98856502826183e-05
"Rainbow Pool","2015","Rainbow Pool:2015",37.81878,-120.0073,833,"C2",4,0.85,-3.34,0.5,1.8,0.59,1.1,-7.24,1.85,1.31,0.26,1.38,1.08,2144,140,127,272288,0.000514161476084146
"Rainbow Pool","2016","Rainbow Pool:2016",37.81878,-120.0073,833,"C2",4,1.48,-3.04,0.5,1.91,0.58,1.1,-7.83,1.85,0.6,0.46,1.18,1.07,2144,113,31,66464,0.00170016851227732
"Rainbow Pool","2017","Rainbow Pool:2017",37.81878,-120.0073,833,"C2",4,7.64,-2.31,0.5,2.17,0.5,1.1,-6.63,1.85,0.84,0.37,1.94,0.98,2144,68,9,19296,0.0035240464344942
"Rainbow Pool","2018","Rainbow Pool:2018",37.81878,-120.0073,833,"C2",4,2.86,-2.03,0.5,1.77,0.66,1.1,-6.83,1.85,0.82,0.42,2.02,1.07,2144,68,48,102912,0.000660758706467662
"Oregon Creek","2010","Oregon Creek:2010",39.39704,-121.082,448,"C3",5,1.43,-2.32,0.5,2.4,0.52,1.1,-7.83,1.85,0.28,0.57,1.71,1.58,1691,42,127,214757,0.000195569876651285
"Oregon Creek","2011","Oregon Creek:2011",39.39704,-121.082,448,"C3",5,1.21,-2.56,0.5,2.27,0.41,1.1,-8.26,1.85,0.82,0.4,0.48,1.35,1691,126,38,64258,0.0019608453422142
"Oregon Creek","2012","Oregon Creek:2012",39.39704,-121.082,448,"C3",5,1.72,-1.11,0.5,1.98,0.57,1.1,-8.15,1.85,-0.05,0.63,1.37,1.21,1691,91,141,238431,0.000381661780557058
"Oregon Creek","2013","Oregon Creek:2013",39.39704,-121.082,448,"C3",5,1.29,-1.08,0.5,2.32,0.49,1.1,-8.01,1.85,0.2,0.6,0.45,1.29,1691,316,969,1638579,0.000192850024319853
"Oregon Creek","2014","Oregon Creek:2014",39.39704,-121.082,448,"C3",5,0.98,-1.69,0.5,2.07,0.55,1.1,-7.6,1.85,0.09,0.59,2.85,1,1691,57,1161,1963251,2.90334755973638e-05
"Oregon Creek","2015","Oregon Creek:2015",39.39704,-121.082,448,"C3",5,0.21,-4.19,0.5,1.5,0.5,1.1,-8.67,1.85,0.38,0.51,1.75,1.13,1691,65,299,505609,0.000128557838171393
"Oregon Creek","2016","Oregon Creek:2016",39.39704,-121.082,448,"C3",5,4.2,-3.11,0.5,1.85,0.57,1.1,-8.56,1.85,-0.33,0.72,2.51,1.15,1691,48,17,28747,0.00166973945107316
"Oregon Creek","2017","Oregon Creek:2017",39.39704,-121.082,448,"C3",5,6.28,-1.76,0.5,2.34,0.58,1.1,-7.43,1.85,-0.08,0.62,2.31,1.27,1691,53,21,35511,0.0014924952831517
"Oregon Creek","2018","Oregon Creek:2018",39.39704,-121.082,448,"C3",5,1.57,-1.16,0.5,2.19,0.56,1.1,-7.22,1.85,-0.11,0.67,2.34,1.23,1691,118,932,1576012,7.48725263513222e-05
"Little Jameson Creek","2010","Little Jameson Creek:2010",39.74298,-120.704,1592,"C3",5,1.3,-0.87,0.5,2.66,0.65,1.1,-8.05,1.85,-1.13,0.92,0.08,1.03,2092,240,18796,39321232,6.1035727466525e-06
"Little Jameson Creek","2011","Little Jameson Creek:2011",39.74298,-120.704,1592,"C3",5,1.04,-1.54,0.5,1.93,0.82,1.1,-8.92,1.85,-0.59,0.74,1.54,1.29,2092,19,19256,40283552,4.71656521252148e-07
"Little Jameson Creek","2012","Little Jameson Creek:2012",39.74298,-120.704,1592,"C3",5,0.76,-2.05,0.5,1.98,0.67,1.1,-7.93,1.85,-1.46,0.97,2.88,1.26,2092,6,36314,75968888,7.89797002162254e-08
"Little Jameson Creek","2013","Little Jameson Creek:2013",39.74298,-120.704,1592,"C3",5,0.83,-1.81,0.5,2.19,0.66,1.1,-6.61,1.85,-1.21,0.94,3.39,2.06,2092,3,31820,66567440,4.50670778386551e-08
"Little Jameson Creek","2014","Little Jameson Creek:2014",39.74298,-120.704,1592,"C3",5,0.91,-0.93,0.5,2.7,0.6,1.1,-6.54,1.85,-1.32,0.94,0,0,2092,0,15197,31792124,0
"Little Jameson Creek","2015","Little Jameson Creek:2015",39.74298,-120.704,1592,"C3",5,0.78,-2.04,0.5,1.82,0.68,1.1,-6.87,1.85,-1.03,0.86,0.93,0.79,2092,85,9786,20472312,4.1519492278156e-06
"Little Jameson Creek","2016","Little Jameson Creek:2016",39.74298,-120.704,1592,"C3",5,0.69,-2.84,0.5,2.21,0.65,1.1,-7.55,1.85,-1.74,1.06,0.86,1.3,2092,207,39097,81790924,2.53084315320854e-06
"Little Jameson Creek","2017","Little Jameson Creek:2017",39.74298,-120.704,1592,"C3",5,1.11,-1.56,0.5,2.56,0.63,1.1,-8.26,1.85,-1.5,0.96,4.26,1.63,2092,28,18217,38109964,7.34715991859767e-07
"Little Jameson Creek","2018","Little Jameson Creek:2018",39.74298,-120.704,1592,"C3",5,0.8,-2.04,0.5,2.25,0.62,1.1,-6.37,1.85,-1.52,1.01,1.5,1.66,2092,60,35768,74826656,8.01853286080297e-07
