"Site","Year","SiteYear","Latitude","Longitude","Elevation","Region","RegionRank","lambda","surv.int","surv.slope","growth.int","growth.slope","growth.sd","flowering.int","flowering.slope","fruit.int","fruit.slope","recruit.size.mean","recruit.size.sd","seed.ct","recruit.number","fruits.per.site","total.seeds.per.site","establishment.prob"
"Whitewater Canyon","2014","Whitewater Canyon:2014",33.99329,-116.6627,696,"S2",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whitewater Canyon","2015","Whitewater Canyon:2015",33.99329,-116.6627,696,"S2",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Fork Mojave River","2010","West Fork Mojave River:2010",34.28425,-117.3754,1087,"S2",2,1.42,-3.68,0.71,4.3,1.08,1.13,-8.73,1.82,-2.41,0.87,3.77,0.39,1675,4,130,217750,1.83696900114811e-05
"West Fork Mojave River","2011","West Fork Mojave River:2011",34.28425,-117.3754,1087,"S2",2,2.88,-3.73,0.73,4.18,1.07,1.13,-7.48,1.82,-1.82,0.87,3.65,0.88,1675,26,131,219425,0.000118491511906118
"West Fork Mojave River","2012","West Fork Mojave River:2012",34.28425,-117.3754,1087,"S2",2,1.61,-3.34,0.69,4.51,1.01,1.13,-7.5,1.82,-2.04,0.87,4.15,0.93,1675,6,126,211050,2.84292821606254e-05
"West Fork Mojave River","2013","West Fork Mojave River:2013",34.28425,-117.3754,1087,"S2",2,0.78,-2.68,0.62,3.99,1.12,1.13,-8.82,1.82,-3,0.87,0,0,1675,0,11,18425,0
"West Fork Mojave River","2014","West Fork Mojave River:2014",34.28425,-117.3754,1087,"S2",2,1.12,-3.64,0.69,4.24,1.06,1.13,-9.25,1.82,-2.07,0.87,3.17,0.62,1675,7,117,195975,3.57188416889909e-05
"West Fork Mojave River","2015","West Fork Mojave River:2015",34.28425,-117.3754,1087,"S2",2,3.51,-4.37,0.73,4.9,0.98,1.13,-8.51,1.82,-2.21,0.87,1.84,2.05,1675,30,34,56950,0.000526777875329236
"South Fork Middle Fork Tule","2012","South Fork Middle Fork Tule:2012",36.13756,-118.5741,1664,"C1",3,2.82,-2.75,0.89,4.47,1.05,1.13,-8,1.82,-2.57,0.87,1.54,1.08,1473,121,215,316695,0.000382071077850929
"South Fork Middle Fork Tule","2013","South Fork Middle Fork Tule:2013",36.13756,-118.5741,1664,"C1",3,3.17,-2.09,0.82,3.96,1.16,1.13,-7.84,1.82,-2.24,0.87,0.41,1.28,1473,362,543,799839,0.000452591083955646
"South Fork Middle Fork Tule","2014","South Fork Middle Fork Tule:2014",36.13756,-118.5741,1664,"C1",3,1.73,-3.05,0.89,4.2,1.09,1.13,-7.85,1.82,-2.38,0.87,1.53,1.44,1473,29,427,628971,4.61070542203059e-05
"South Fork Middle Fork Tule","2015","South Fork Middle Fork Tule:2015",36.13756,-118.5741,1664,"C1",3,7.02,-3.79,0.92,4.86,1.01,1.13,-9.66,1.82,-2.71,0.87,2.78,1.59,1473,109,41,60393,0.00180484493235971
"North Fork Middle Fork Tule","2010","North Fork Middle Fork Tule:2010",36.20081,-118.6509,1284,"C1",3,2.51,-3.74,0.99,3.73,1.23,1.13,-10.23,1.82,-3.58,0.87,0.14,1.1,1473,58,12,17676,0.00328128535867843
"North Fork Middle Fork Tule","2011","North Fork Middle Fork Tule:2011",36.20081,-118.6509,1284,"C1",3,1.58,-3.79,1.02,3.61,1.22,1.13,-9.24,1.82,-1.84,0.87,-0.04,0.83,1473,19,42,61866,0.000307115378398474
"North Fork Middle Fork Tule","2012","North Fork Middle Fork Tule:2012",36.20081,-118.6509,1284,"C1",3,2.65,-3.41,0.98,3.93,1.16,1.13,-7.78,1.82,-1.67,0.87,0.62,1.17,1473,105,312,459576,0.000228471460650687
