"SiteYear","Site","Year","surv.int","surv.slope","growth.int","growth.slope","growth.sd","flowering.int","flowering.slope","fruit.int","fruit.slope","recruit.size.mean","recruit.size.sd","seed.ct","recruit.number","fruits.per.site","total.seeds.per.site","establishment.prob"
"Coast Fork of Williamette:2012","Coast Fork of Williamette","2012",-1.68426246079481,0.522753931251533,2.42762431993971,0.610586712311047,1.11008917792899,-8.99112699636188,1.84078666005448,NA,NA,1.36728260869565,1.04004976979482,1184,92,0,0,0.0777027027027027
"Coast Fork of Williamette:2013","Coast Fork of Williamette","2013",-2.52118265106745,0.522753931251533,2.39804586214614,0.610586712311047,1.11008917792899,-7.66741316400289,1.84078666005448,-1.16703160457688,0.857155887096075,1.331875,0.827874537596126,1184,16,175,207200,7.72200772200772e-05
"Coast Fork of Williamette:2014","Coast Fork of Williamette","2014",-2.38687367989301,0.522753931251533,2.13737381063836,0.610586712311047,1.11008917792899,-8.04633014206989,1.84078666005448,-2.00713684628699,0.857155887096075,2.17523148063117,0.9447971443698,1184,30,113,133792,0.000224228653432193
"Coast Fork of Williamette:2015","Coast Fork of Williamette","2015",-2.72301203835843,0.522753931251533,2.30839508702436,0.610586712311047,1.11008917792899,-7.08405208372027,1.84078666005448,-2.27071606743246,0.857155887096075,2.13388232757625,1.65878954348187,1184,8,191,226144,3.53756898259516e-05
"Deep Creek:2010","Deep Creek","2010",-0.223953250984994,0.522753931251533,2.22758828838791,0.610586712311047,1.11008917792899,-8.84080839219612,1.84078666005448,-2.44918281660838,0.857155887096075,4.46333333333333,0.959186162972598,506,15,565,285890,5.24677323446081e-05
"Deep Creek:2011","Deep Creek","2011",-1.09493846068195,0.522753931251533,1.86528704626984,0.610586712311047,1.11008917792899,-10.685595763206,1.84078666005448,-3.2678487265629,0.857155887096075,2.88,2.55663283022248,506,15,23,11638,0.00128888125107407
"Deep Creek:2012","Deep Creek","2012",-0.480164041214371,0.522753931251533,1.50995532245588,0.610586712311047,1.11008917792899,-8.89592286845903,1.84078666005448,-2.62912993043959,0.857155887096075,2.15545454545455,1.56418527297179,506,33,286,144716,0.000228032836728489
"Deep Creek:2013","Deep Creek","2013",-0.583285360635655,0.522753931251533,1.44126575225915,0.610586712311047,1.11008917792899,-8.79705075961797,1.84078666005448,-2.31068692695718,0.857155887096075,-0.0408333333333332,1.29775713114148,506,36,108,54648,0.000658761528326746
"Deep Creek:2014","Deep Creek","2014",-1.42034904571568,0.522753931251533,1.43649338713458,0.610586712311047,1.11008917792899,-8.36210207439698,1.84078666005448,-2.45330015541555,0.857155887096075,0.859898722238282,1.42660402374906,506,434,73,36938,0.0117494179435811
"Deep Creek:2015","Deep Creek","2015",-1.90043036087517,0.522753931251533,2.29615210945199,0.610586712311047,1.11008917792899,-7.20872067409533,1.84078666005448,-0.873164776784036,0.857155887096075,1.88226718060926,1.80588408291447,506,37,2417,1223002,3.02534255872026e-05
"Hauser Creek:2010","Hauser Creek","2010",-4.53742205970639,0.522753931251533,1.42094612477781,0.610586712311047,1.11008917792899,-6.2213781594089,1.84078666005448,-1.2227049257919,0.857155887096075,0,0,1666,0,209,348194,0
"Hauser Creek:2011","Hauser Creek","2011",-3.36541633710124,0.522753931251533,NA,NA,NA,-7.43356522407368,1.84078666005448,-1.49219412482715,0.857155887096075,0,0,1666,0,13,21658,0
"Kitchen Creek:2010","Kitchen Creek","2010",-2.65093736243098,0.522753931251533,1.14391078443355,0.610586712311047,1.11008917792899,-6.78023884202835,1.84078666005448,-1.71485472082148,0.857155887096075,1.1715,1.25182508867317,2514,20,47,118158,0.000169264882614804
"Kitchen Creek:2011","Kitchen Creek","2011",-3.26172556341467,0.522753931251533,1.27255203508849,0.610586712311047,1.11008917792899,-7.73860439910604,1.84078666005448,-1.43000548433647,0.857155887096075,1.72875,1.3623135521185,2514,8,10,25140,0.000318217979315831
