Site,ID,Region,Latitude,Longitude,Elevation,Class,Fec1,logSize,ClassNext,logSizeNext,Surv,Year,Fec0,RegionRank,SeedCt,NotAnIndividual,Reasoning,NotARecruit,Reasoning
Bear Creek,58933,C1,36.20696,-118.7269,1119,J,NA,3.04,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58939,C1,36.20696,-118.7269,1119,J,NA,3.09,J,2.94,1,2012,0,3,NA,0,,NA,
Bear Creek,58949,C1,36.20696,-118.7269,1119,J,NA,3.09,J,3.18,1,2012,0,3,NA,0,,NA,
Bear Creek,58971,C1,36.20696,-118.7269,1119,J,NA,3.11,J,2.08,1,2012,0,3,NA,0,,NA,
Bear Creek,58965,C1,36.20696,-118.7269,1119,J,NA,3.14,J,1.79,1,2012,0,3,NA,0,,NA,
Bear Creek,58937,C1,36.20696,-118.7269,1119,J,NA,3.18,A,4.97,1,2012,0,3,NA,0,,NA,
Bear Creek,58986,C1,36.20696,-118.7269,1119,J,NA,3.26,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58944,C1,36.20696,-118.7269,1119,J,NA,3.33,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58961,C1,36.20696,-118.7269,1119,J,NA,3.33,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58959,C1,36.20696,-118.7269,1119,J,NA,3.4,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58981,C1,36.20696,-118.7269,1119,J,NA,3.43,J,3.09,1,2012,0,3,NA,0,,NA,
Bear Creek,58978,C1,36.20696,-118.7269,1119,J,NA,3.43,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58960,C1,36.20696,-118.7269,1119,J,NA,3.53,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58934,C1,36.20696,-118.7269,1119,J,NA,3.66,J,3.37,1,2012,0,3,NA,0,,NA,
Bear Creek,58935,C1,36.20696,-118.7269,1119,J,NA,3.66,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58962,C1,36.20696,-118.7269,1119,J,NA,3.69,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58982,C1,36.20696,-118.7269,1119,A,4,3.89,J,2.71,1,2012,1,3,1473,0,,NA,
Bear Creek,58957,C1,36.20696,-118.7269,1119,J,NA,3.95,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58987,C1,36.20696,-118.7269,1119,J,NA,3.95,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58963,C1,36.20696,-118.7269,1119,J,NA,4.04,A,4.55,1,2012,0,3,NA,0,,NA,
Bear Creek,58955,C1,36.20696,-118.7269,1119,J,NA,4.33,J,4.13,1,2012,0,3,NA,0,,NA,
Bear Creek,58942,C1,36.20696,-118.7269,1119,J,NA,4.36,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58977,C1,36.20696,-118.7269,1119,A,1,4.39,D,NA,0,2012,1,3,1473,0,,NA,
Bear Creek,58951,C1,36.20696,-118.7269,1119,A,1,4.72,J,5.88,1,2012,1,3,1473,0,,NA,
Bear Creek,58992,C1,36.20696,-118.7269,1119,A,6,4.96,A,5.18,1,2012,1,3,1473,0,,NA,
Bear Creek,58940,C1,36.20696,-118.7269,1119,A,8,4.98,A,5.11,1,2012,1,3,1473,0,,NA,
Bear Creek,58943,C1,36.20696,-118.7269,1119,J,NA,5.08,J,3.89,1,2012,0,3,NA,0,,NA,
Bear Creek,58953,C1,36.20696,-118.7269,1119,J,NA,5.11,A,4.64,1,2012,0,3,NA,0,,NA,
Bear Creek,58945,C1,36.20696,-118.7269,1119,A,5,5.23,A,5.34,1,2012,1,3,1473,0,,NA,
Bear Creek,58976,C1,36.20696,-118.7269,1119,A,1,5.59,D,NA,0,2012,1,3,1473,0,,NA,
Bear Creek,58941,C1,36.20696,-118.7269,1119,A,21,6.86,A,7.22,1,2012,1,3,1473,0,"notes ""scattered""",NA,
Bear Creek,59954,C1,36.20696,-118.7269,1119,NA,NA,NA,J,-0.69,NA,2012,NA,3,NA,0,,0,
Bear Creek,59953,C1,36.20696,-118.7269,1119,NA,NA,NA,J,0,NA,2012,NA,3,NA,0,,0,
Bear Creek,59958,C1,36.20696,-118.7269,1119,NA,NA,NA,J,2.08,NA,2012,NA,3,NA,0,,0,
Bear Creek,59955,C1,36.20696,-118.7269,1119,NA,NA,NA,J,2.2,NA,2012,NA,3,NA,0,,0,
Bear Creek,59952,C1,36.20696,-118.7269,1119,NA,NA,NA,J,2.3,NA,2012,NA,3,NA,0,,0,
Bear Creek,59956,C1,36.20696,-118.7269,1119,NA,NA,NA,J,2.48,NA,2012,NA,3,NA,0,,0,
Bear Creek,59961,C1,36.20696,-118.7269,1119,NA,NA,NA,J,2.64,NA,2012,NA,3,NA,0,,0,
Bear Creek,59959,C1,36.20696,-118.7269,1119,NA,NA,NA,J,2.77,NA,2012,NA,3,NA,0,,0,
Bear Creek,59962,C1,36.20696,-118.7269,1119,NA,NA,NA,J,2.77,NA,2012,NA,3,NA,0,,0,
Bear Creek,59960,C1,36.20696,-118.7269,1119,NA,NA,NA,J,3.66,NA,2012,NA,3,NA,0,,2,"notes ""J2012?"""
Bear Creek,59957,C1,36.20696,-118.7269,1119,NA,NA,NA,A,4.23,NA,2012,NA,3,NA,0,,2,"large adult; notes ""J2012?"""
Bear Creek,59954,C1,36.20696,-118.7269,1119,J,NA,-0.69,J,1.61,1,2013,0,3,NA,0,,NA,
Bear Creek,59953,C1,36.20696,-118.7269,1119,J,NA,0,D,NA,0,2013,0,3,NA,0,,NA,
Bear Creek,58950,C1,36.20696,-118.7269,1119,J,NA,1.79,J,2.4,1,2013,0,3,NA,0,,NA,
Bear Creek,58984,C1,36.20696,-118.7269,1119,A,0,1.79,A,2.48,1,2013,1,3,NA,0,,NA,
Bear Creek,58965,C1,36.20696,-118.7269,1119,J,NA,1.79,J,3.09,1,2013,0,3,NA,0,,NA,
Bear Creek,58972,C1,36.20696,-118.7269,1119,J,NA,1.79,D,NA,0,2013,0,3,NA,0,,NA,
Bear Creek,58970,C1,36.20696,-118.7269,1119,J,NA,1.95,D,NA,0,2013,0,3,NA,0,,NA,
Bear Creek,58971,C1,36.20696,-118.7269,1119,J,NA,2.08,D,NA,0,2013,0,3,NA,0,,NA,
Bear Creek,59958,C1,36.20696,-118.7269,1119,J,NA,2.08,D,NA,0,2013,0,3,NA,0,,NA,
Bear Creek,59955,C1,36.20696,-118.7269,1119,J,NA,2.2,D,NA,0,2013,0,3,NA,0,,NA,
Bear Creek,59952,C1,36.20696,-118.7269,1119,J,NA,2.3,J,3.74,1,2013,0,3,NA,0,,NA,
Bear Creek,58948,C1,36.20696,-118.7269,1119,J,NA,2.3,D,NA,0,2013,0,3,NA,0,,NA,
Bear Creek,58946,C1,36.20696,-118.7269,1119,J,NA,2.4,J,1.39,1,2013,0,3,NA,0,,NA,
Bear Creek,59956,C1,36.20696,-118.7269,1119,J,NA,2.48,D,NA,0,2013,0,3,NA,0,,NA,
Bear Creek,58968,C1,36.20696,-118.7269,1119,J,NA,2.56,A,2.56,1,2013,0,3,NA,0,,NA,
Bear Creek,58980,C1,36.20696,-118.7269,1119,J,NA,2.56,J,2.56,1,2013,0,3,NA,0,,NA,
Bear Creek,59961,C1,36.20696,-118.7269,1119,J,NA,2.64,D,NA,0,2013,0,3,NA,0,,NA,
Bear Creek,58982,C1,36.20696,-118.7269,1119,J,NA,2.71,D,NA,0,2013,0,3,NA,0,,NA,
Bear Creek,58947,C1,36.20696,-118.7269,1119,J,NA,2.77,J,2.77,1,2013,0,3,NA,0,,NA,
Bear Creek,59959,C1,36.20696,-118.7269,1119,J,NA,2.77,D,NA,0,2013,0,3,NA,0,,NA,
Bear Creek,59962,C1,36.20696,-118.7269,1119,J,NA,2.77,D,NA,0,2013,0,3,NA,0,,NA,
Bear Creek,58991,C1,36.20696,-118.7269,1119,A,1,2.94,A,2.2,1,2013,1,3,1473,0,,NA,
Bear Creek,58939,C1,36.20696,-118.7269,1119,J,NA,2.94,D,NA,0,2013,0,3,NA,0,,NA,
Bear Creek,58983,C1,36.20696,-118.7269,1119,A,0,2.94,D,NA,0,2013,1,3,NA,0,,NA,
Bear Creek,58981,C1,36.20696,-118.7269,1119,J,NA,3.09,J,2.83,1,2013,0,3,NA,0,,NA,
Bear Creek,58949,C1,36.20696,-118.7269,1119,J,NA,3.18,J,1.39,1,2013,0,3,NA,0,,NA,
Bear Creek,58967,C1,36.20696,-118.7269,1119,J,NA,3.33,D,NA,0,2013,0,3,NA,0,,NA,
Bear Creek,58934,C1,36.20696,-118.7269,1119,J,NA,3.37,D,NA,0,2013,0,3,NA,0,,NA,
Bear Creek,59960,C1,36.20696,-118.7269,1119,J,NA,3.66,D,NA,0,2013,0,3,NA,0,,NA,
Bear Creek,58952,C1,36.20696,-118.7269,1119,J,NA,3.83,J,4.08,1,2013,0,3,NA,0,,NA,
Bear Creek,58943,C1,36.20696,-118.7269,1119,J,NA,3.89,J,3.56,1,2013,0,3,NA,0,,NA,
Bear Creek,58955,C1,36.20696,-118.7269,1119,J,NA,4.13,J,3.09,1,2013,0,3,NA,0,,NA,
Bear Creek,59957,C1,36.20696,-118.7269,1119,A,3,4.23,D,NA,0,2013,1,3,1473,0,,NA,
Bear Creek,58963,C1,36.20696,-118.7269,1119,A,8,4.55,A,4.66,1,2013,1,3,1473,0,,NA,
Bear Creek,58953,C1,36.20696,-118.7269,1119,A,0,4.64,A,5.11,1,2013,1,3,NA,0,,NA,
Bear Creek,58937,C1,36.20696,-118.7269,1119,A,2,4.97,J,5.51,1,2013,1,3,1473,0,,NA,
Bear Creek,58940,C1,36.20696,-118.7269,1119,A,6,5.11,D,NA,0,2013,1,3,1473,0,,NA,
Bear Creek,58992,C1,36.20696,-118.7269,1119,A,7,5.18,A,4.94,1,2013,1,3,1473,0,,NA,
Bear Creek,58945,C1,36.20696,-118.7269,1119,A,5,5.34,A,6.02,1,2013,1,3,1473,0,,NA,
Bear Creek,58951,C1,36.20696,-118.7269,1119,J,NA,5.88,A,5.58,1,2013,0,3,NA,0,,NA,
Bear Creek,58941,C1,36.20696,-118.7269,1119,A,0,7.22,A,6.83,1,2013,1,3,NA,0,original notes say scattered,NA,
Bear Creek,61695,C1,36.20696,-118.7269,1119,NA,NA,NA,J,1.1,NA,2013,NA,3,NA,0,,0,
Bear Creek,61697,C1,36.20696,-118.7269,1119,NA,NA,NA,J,1.39,NA,2013,NA,3,NA,0,,0,
Bear Creek,61701,C1,36.20696,-118.7269,1119,NA,NA,NA,J,1.39,NA,2013,NA,3,NA,0,,0,
Bear Creek,61696,C1,36.20696,-118.7269,1119,NA,NA,NA,J,1.95,NA,2013,NA,3,NA,0,,0,
Bear Creek,61702,C1,36.20696,-118.7269,1119,NA,NA,NA,J,1.95,NA,2013,NA,3,NA,0,,0,
Bear Creek,61703,C1,36.20696,-118.7269,1119,NA,NA,NA,J,2.4,NA,2013,NA,3,NA,0,,0,
Bear Creek,61693,C1,36.20696,-118.7269,1119,NA,NA,NA,J,2.48,NA,2013,NA,3,NA,0,,0,
Bear Creek,61699,C1,36.20696,-118.7269,1119,NA,NA,NA,J,2.77,NA,2013,NA,3,NA,0,,0,
Bear Creek,61698,C1,36.20696,-118.7269,1119,NA,NA,NA,A,2.94,NA,2013,NA,3,NA,0,,0,
Bear Creek,61700,C1,36.20696,-118.7269,1119,NA,NA,NA,J,3.14,NA,2013,NA,3,NA,0,,0,
Bear Creek,61694,C1,36.20696,-118.7269,1119,NA,NA,NA,A,5.01,NA,2013,NA,3,NA,0,,0,
Buck Meadows,16436,C2,37.77722,-120.0633,830,J,NA,-0.69,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16458,C2,37.77722,-120.0633,830,J,NA,-0.69,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16437,C2,37.77722,-120.0633,830,J,NA,0,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16456,C2,37.77722,-120.0633,830,J,NA,0,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16462,C2,37.77722,-120.0633,830,J,NA,0,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16474,C2,37.77722,-120.0633,830,J,NA,0,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16478,C2,37.77722,-120.0633,830,J,NA,0,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16455,C2,37.77722,-120.0633,830,J,NA,0.69,J,2.64,1,2010,0,4,NA,0,,NA,
Buck Meadows,16479,C2,37.77722,-120.0633,830,J,NA,0.69,J,2.94,1,2010,0,4,NA,0,,NA,
Buck Meadows,16448,C2,37.77722,-120.0633,830,J,NA,0.69,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16449,C2,37.77722,-120.0633,830,J,NA,0.69,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16457,C2,37.77722,-120.0633,830,J,NA,0.69,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16460,C2,37.77722,-120.0633,830,J,NA,0.69,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16465,C2,37.77722,-120.0633,830,J,NA,0.69,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16471,C2,37.77722,-120.0633,830,J,NA,0.69,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16472,C2,37.77722,-120.0633,830,J,NA,0.69,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16475,C2,37.77722,-120.0633,830,J,NA,0.69,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16480,C2,37.77722,-120.0633,830,J,NA,0.69,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16486,C2,37.77722,-120.0633,830,J,NA,0.69,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16481,C2,37.77722,-120.0633,830,J,NA,1.1,J,2.2,1,2010,0,4,NA,0,,NA,
Buck Meadows,16435,C2,37.77722,-120.0633,830,J,NA,1.1,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16464,C2,37.77722,-120.0633,830,J,NA,1.1,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16454,C2,37.77722,-120.0633,830,J,NA,1.39,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16433,C2,37.77722,-120.0633,830,J,NA,1.61,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16434,C2,37.77722,-120.0633,830,J,NA,1.61,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16459,C2,37.77722,-120.0633,830,J,NA,1.61,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16482,C2,37.77722,-120.0633,830,J,NA,1.61,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16476,C2,37.77722,-120.0633,830,J,NA,1.79,J,0.69,1,2010,0,4,NA,0,,NA,
Buck Meadows,16453,C2,37.77722,-120.0633,830,J,NA,1.79,A,4.26,1,2010,0,4,NA,0,,NA,
Buck Meadows,16466,C2,37.77722,-120.0633,830,J,NA,1.87,A,4.41,1,2010,0,4,NA,0,,NA,
Buck Meadows,16468,C2,37.77722,-120.0633,830,J,NA,1.95,J,3.91,1,2010,0,4,NA,0,,NA,
Buck Meadows,16447,C2,37.77722,-120.0633,830,J,NA,1.95,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16450,C2,37.77722,-120.0633,830,J,NA,1.95,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16477,C2,37.77722,-120.0633,830,J,NA,1.95,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16483,C2,37.77722,-120.0633,830,J,NA,2.08,J,3.5,1,2010,0,4,NA,0,,NA,
Buck Meadows,16461,C2,37.77722,-120.0633,830,J,NA,2.08,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16484,C2,37.77722,-120.0633,830,J,NA,2.08,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16473,C2,37.77722,-120.0633,830,J,NA,2.2,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16452,C2,37.77722,-120.0633,830,J,NA,2.3,J,3.18,1,2010,0,4,NA,0,,NA,
Buck Meadows,16423,C2,37.77722,-120.0633,830,J,NA,2.3,A,4.22,1,2010,0,4,NA,0,,NA,
Buck Meadows,16335,C2,37.77722,-120.0633,830,J,NA,2.3,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16438,C2,37.77722,-120.0633,830,J,NA,2.48,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16485,C2,37.77722,-120.0633,830,J,NA,2.56,J,3.3,1,2010,0,4,NA,0,,NA,
Buck Meadows,16451,C2,37.77722,-120.0633,830,J,NA,2.56,A,4.44,1,2010,0,4,NA,0,,NA,
Buck Meadows,16446,C2,37.77722,-120.0633,830,J,NA,2.56,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16422,C2,37.77722,-120.0633,830,J,NA,2.64,J,1.1,1,2010,0,4,NA,0,,NA,
Buck Meadows,16463,C2,37.77722,-120.0633,830,J,NA,2.64,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16469,C2,37.77722,-120.0633,830,J,NA,2.67,J,4.13,1,2010,0,4,NA,0,,NA,
Buck Meadows,16418,C2,37.77722,-120.0633,830,J,NA,2.83,J,4.03,1,2010,0,4,NA,0,,NA,
Buck Meadows,16467,C2,37.77722,-120.0633,830,J,NA,2.83,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16487,C2,37.77722,-120.0633,830,J,NA,2.89,J,2.64,1,2010,0,4,NA,0,,NA,
Buck Meadows,16336,C2,37.77722,-120.0633,830,J,NA,2.94,A,3.43,1,2010,0,4,NA,0,,NA,
Buck Meadows,16441,C2,37.77722,-120.0633,830,J,NA,3.26,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16416,C2,37.77722,-120.0633,830,J,NA,3.33,A,4.62,1,2010,0,4,NA,0,,NA,
Buck Meadows,16445,C2,37.77722,-120.0633,830,J,NA,3.61,J,4.06,1,2010,0,4,NA,0,,NA,
Buck Meadows,15962,C2,37.77722,-120.0633,830,J,NA,3.69,J,3.76,1,2010,0,4,NA,0,,NA,
Buck Meadows,15935,C2,37.77722,-120.0633,830,J,NA,3.74,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16419,C2,37.77722,-120.0633,830,A,NA,3.78,D,NA,0,2010,1,4,NA,0,,NA,
Buck Meadows,15515,C2,37.77722,-120.0633,830,J,NA,3.79,A,4.17,1,2010,0,4,NA,0,,NA,
Buck Meadows,16417,C2,37.77722,-120.0633,830,J,NA,3.87,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,16470,C2,37.77722,-120.0633,830,A,NA,3.99,J,3.33,1,2010,1,4,NA,0,,NA,
Buck Meadows,16488,C2,37.77722,-120.0633,830,J,NA,4.38,J,4.85,1,2010,0,4,NA,0,,NA,
Buck Meadows,16426,C2,37.77722,-120.0633,830,J,NA,4.53,D,NA,0,2010,0,4,NA,0,,NA,
Buck Meadows,15764,C2,37.77722,-120.0633,830,A,1,4.79,A,6.27,1,2010,1,4,1956,0,,NA,
Buck Meadows,15761,C2,37.77722,-120.0633,830,A,10,5.49,A,5.45,1,2010,1,4,1956,0,,NA,
Buck Meadows,16415,C2,37.77722,-120.0633,830,A,4,5.85,A,6.75,1,2010,1,4,1956,0,,NA,
Buck Meadows,16337,C2,37.77722,-120.0633,830,A,13,6.71,A,6.75,1,2010,1,4,1956,0,,NA,
Buck Meadows,55398,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55537,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55538,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55539,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55540,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55541,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55542,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55552,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55553,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55554,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55567,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55588,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,0,
Buck Meadows,55589,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,0,
Buck Meadows,55590,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,0,
Buck Meadows,55591,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,0,
Buck Meadows,55592,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,0,
Buck Meadows,55599,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55604,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,0,
Buck Meadows,55893,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,0,
Buck Meadows,55895,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,0,
Buck Meadows,55896,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,0,
Buck Meadows,55897,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,can't find on datasheets
Buck Meadows,55898,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,can't find on datasheets
Buck Meadows,55899,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55903,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55904,C2,37.77722,-120.0633,830,NA,NA,NA,J,-0.69,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55373,C2,37.77722,-120.0633,830,NA,NA,NA,J,0,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55393,C2,37.77722,-120.0633,830,NA,NA,NA,J,0,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55414,C2,37.77722,-120.0633,830,NA,NA,NA,J,0,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55418,C2,37.77722,-120.0633,830,NA,NA,NA,J,0,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55419,C2,37.77722,-120.0633,830,NA,NA,NA,J,0,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55423,C2,37.77722,-120.0633,830,NA,NA,NA,J,0,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55570,C2,37.77722,-120.0633,830,NA,NA,NA,J,0,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55571,C2,37.77722,-120.0633,830,NA,NA,NA,J,0,NA,2010,NA,4,NA,0,,1,new plot
Buck Meadows,55583,C2,37.77722,-120.0633,830,NA,NA,NA,J,0,NA,2010,NA,4,NA,0,,1,new plot
