"","Site","Paper_ID","Latitude","Longitude","Year","MAT","MAP","CMD"
"39","Kitchen Creek",15,32.75206,-116.4522,2011,13.175,358,1123
"40","Hauser Creek",14,32.65822,-116.5323,2011,14.8166666666667,240,1303
"41","Coast Fork of Williamette",55,43.6517,-123.088,2012,11.2,1094,394
"42","Canton Creek",57,43.4137,-122.7804,2012,11.1416666666667,1191,404
"43","Rock Creek",11,43.37876,-122.9521,2012,11.625,1207,443
"44","O'Neil Creek",9,41.80979,-123.1189,2012,12.4666666666667,668,670
"45","Deep Creek",8,41.66546,-123.1134,2012,13.3333333333333,247,929
"46","Little Jameson Creek",7,39.74298,-120.704,2012,9.56666666666666,674,572
"47","Oregon Creek",6,39.39704,-121.082,2012,16.25,792,768
"48","Rainbow Pool",29,37.81878,-120.0073,2012,14.1916666666667,417,839
"49","Carlon",28,37.81006,-119.8568,2012,12.4,434,735
"50","Buck Meadows",27,37.77722,-120.0633,2012,14.6,423,861
"51","Wawona",5,37.53822,-119.6514,2012,13.2916666666667,407,815
"52","Redwood Creek",4,36.68952,-118.9096,2012,11.125,415,725
"53","North Fork Middle Fork Tule",3,36.20081,-118.6509,2012,14.4833333333333,467,804
"54","South Fork Middle Fork Tule",58,36.13756,-118.5741,2012,11.6833333333333,514,731
"55","West Fork Mojave River",2,34.28425,-117.3754,2012,15.6583333333333,440,1008
"56","Mill Creek",12,34.07808,-116.8756,2012,9.4,541,761
"57","Whitewater Canyon",17,33.99329,-116.6627,2012,19.2666666666667,168,1328
"58","Sweetwater River",1,32.89913,-116.5865,2012,13.4083333333333,507,921
"59","Kitchen Creek",15,32.75206,-116.4522,2012,13.7416666666667,387,1091
"60","Hauser Creek",14,32.65822,-116.5323,2012,15.3583333333333,276,1244
"61","Coast Fork of Williamette",55,43.6517,-123.088,2013,11.1,964,406
"62","Canton Creek",57,43.4137,-122.7804,2013,11.1,1074,418
"63","Rock Creek",11,43.37876,-122.9521,2013,11.575,1065,459
"64","O'Neil Creek",9,41.80979,-123.1189,2013,12.5416666666667,478,732
"65","Deep Creek",8,41.66546,-123.1134,2013,13.4083333333333,181,986
"66","Little Jameson Creek",7,39.74298,-120.704,2013,9.575,509,599
"67","Oregon Creek",6,39.39704,-121.082,2013,16.3916666666667,535,832
"68","Rainbow Pool",29,37.81878,-120.0073,2013,14.3,386,891
"69","Carlon",28,37.81006,-119.8568,2013,12.5,409,773
"70","Buck Meadows",27,37.77722,-120.0633,2013,14.7,389,912
"71","Wawona",5,37.53822,-119.6514,2013,13.35,422,843
"72","Redwood Creek",4,36.68952,-118.9096,2013,11.3416666666667,373,748
"73","North Fork Middle Fork Tule",3,36.20081,-118.6509,2013,14.7416666666667,418,838
"74","South Fork Middle Fork Tule",58,36.13756,-118.5741,2013,11.9,466,765
"75","West Fork Mojave River",2,34.28425,-117.3754,2013,15.725,354,1025
"76","Mill Creek",12,34.07808,-116.8756,2013,9.55,447,760
"77","Whitewater Canyon",17,33.99329,-116.6627,2013,19.4083333333333,146,1334
"78","Sweetwater River",1,32.89913,-116.5865,2013,13.4916666666667,388,905
"79","Kitchen Creek",15,32.75206,-116.4522,2013,13.8,310,1092
"80","Hauser Creek",14,32.65822,-116.5323,2013,15.4416666666667,214,1272
"81","Coast Fork of Williamette",55,43.6517,-123.088,2014,11.7083333333333,1152,453
"82","Canton Creek",57,43.4137,-122.7804,2014,11.7666666666667,1304,452
"83","Rock Creek",11,43.37876,-122.9521,2014,12.2583333333333,1305,505
"84","O'Neil Creek",9,41.80979,-123.1189,2014,13.35,732,827
"85","Deep Creek",8,41.66546,-123.1134,2014,14.1916666666667,224,988
"86","Little Jameson Creek",7,39.74298,-120.704,2014,10.325,889,625
"87","Oregon Creek",6,39.39704,-121.082,2014,17.0833333333333,949,843
"88","Rainbow Pool",29,37.81878,-120.0073,2014,15.05,639,810
"89","Carlon",28,37.81006,-119.8568,2014,13.2416666666667,671,699
"90","Buck Meadows",27,37.77722,-120.0633,2014,15.4666666666667,640,836
"91","Wawona",5,37.53822,-119.6514,2014,14.125,670,765
"92","Redwood Creek",4,36.68952,-118.9096,2014,11.95,535,657
"93","North Fork Middle Fork Tule",3,36.20081,-118.6509,2014,15.2666666666667,496,788
"94","South Fork Middle Fork Tule",58,36.13756,-118.5741,2014,12.4083333333333,538,716
"95","West Fork Mojave River",2,34.28425,-117.3754,2014,16.45,420,972
"96","Mill Creek",12,34.07808,-116.8756,2014,10.2083333333333,522,694
"97","Whitewater Canyon",17,33.99329,-116.6627,2014,20.05,159,1326
"98","Sweetwater River",1,32.89913,-116.5865,2014,14.3416666666667,326,938
"99","Kitchen Creek",15,32.75206,-116.4522,2014,14.6083333333333,239,1156
"100","Hauser Creek",14,32.65822,-116.5323,2014,16.2666666666667,164,1345
"101","Coast Fork of Williamette",55,43.6517,-123.088,2015,12.8916666666667,1137,541
"102","Canton Creek",57,43.4137,-122.7804,2015,12.9083333333333,1252,556
"103","Rock Creek",11,43.37876,-122.9521,2015,13.3916666666667,1335,607
"104","O'Neil Creek",9,41.80979,-123.1189,2015,14.0166666666667,1043,696
"105","Deep Creek",8,41.66546,-123.1134,2015,14.8333333333333,369,900
"106","Little Jameson Creek",7,39.74298,-120.704,2015,11.0166666666667,935,703
"107","Oregon Creek",6,39.39704,-121.082,2015,17.525,1099,955
"108","Rainbow Pool",29,37.81878,-120.0073,2015,15.425,738,861
"109","Carlon",28,37.81006,-119.8568,2015,13.6583333333333,754,728
"110","Buck Meadows",27,37.77722,-120.0633,2015,15.8083333333333,763,893
"111","Wawona",5,37.53822,-119.6514,2015,14.5416666666667,764,792
"112","Redwood Creek",4,36.68952,-118.9096,2015,12.175,561,767
"113","North Fork Middle Fork Tule",3,36.20081,-118.6509,2015,15.4583333333333,580,848
"114","South Fork Middle Fork Tule",58,36.13756,-118.5741,2015,12.6166666666667,667,759
"115","West Fork Mojave River",2,34.28425,-117.3754,2015,16.725,724,921
"116","Mill Creek",12,34.07808,-116.8756,2015,10.4333333333333,871,541
"117","Whitewater Canyon",17,33.99329,-116.6627,2015,20.275,298,1264
"118","Sweetwater River",1,32.89913,-116.5865,2015,14.7333333333333,570,817
"119","Kitchen Creek",15,32.75206,-116.4522,2015,15.0166666666667,458,1032
"120","Hauser Creek",14,32.65822,-116.5323,2015,16.7,306,1289
"121","Coast Fork of Williamette",55,43.6517,-123.088,2016,11.9833333333333,1441,512
"122","Canton Creek",57,43.4137,-122.7804,2016,11.8416666666667,1630,523
"123","Rock Creek",11,43.37876,-122.9521,2016,12.3666666666667,1751,565
"124","O'Neil Creek",9,41.80979,-123.1189,2016,13,1237,790
"125","Deep Creek",8,41.66546,-123.1134,2016,13.8416666666667,371,957
"126","Little Jameson Creek",7,39.74298,-120.704,2016,9.8,1497,634
"127","Oregon Creek",6,39.39704,-121.082,2016,16.45,1669,858
"128","Rainbow Pool",29,37.81878,-120.0073,2016,14.3416666666667,1282,784
"129","Carlon",28,37.81006,-119.8568,2016,12.5,1350,686
"130","Buck Meadows",27,37.77722,-120.0633,2016,14.7833333333333,1319,807
"131","Wawona",5,37.53822,-119.6514,2016,13.4166666666667,1484,736
"132","Redwood Creek",4,36.68952,-118.9096,2016,10.9583333333333,1228,612
"133","North Fork Middle Fork Tule",3,36.20081,-118.6509,2016,14.1583333333333,963,710
"134","South Fork Middle Fork Tule",58,36.13756,-118.5741,2016,11.3333333333333,1021,655
"135","West Fork Mojave River",2,34.28425,-117.3754,2016,15.9,736,862
"136","Mill Creek",12,34.07808,-116.8756,2016,9.59166666666667,886,615
"137","Whitewater Canyon",17,33.99329,-116.6627,2016,19.4583333333333,269,1258
"138","Sweetwater River",1,32.89913,-116.5865,2016,14.075,527,905
"139","Kitchen Creek",15,32.75206,-116.4522,2016,14.3833333333333,395,1107
"140","Hauser Creek",14,32.65822,-116.5323,2016,16.05,278,1283
"141","Coast Fork of Williamette",55,43.6517,-123.088,2017,11.3333333333333,1724,465
"142","Canton Creek",57,43.4137,-122.7804,2017,11.2416666666667,1903,479
"143","Rock Creek",11,43.37876,-122.9521,2017,11.7583333333333,2025,525
"144","O'Neil Creek",9,41.80979,-123.1189,2017,12.2916666666667,1626,698
"145","Deep Creek",8,41.66546,-123.1134,2017,13.1416666666667,503,849
"146","Little Jameson Creek",7,39.74298,-120.704,2017,9.55833333333333,2632,622
"147","Oregon Creek",6,39.39704,-121.082,2017,16.1583333333333,2735,814
"148","Rainbow Pool",29,37.81878,-120.0073,2017,14.175,1824,749
"149","Carlon",28,37.81006,-119.8568,2017,12.325,2030,675
"150","Buck Meadows",27,37.77722,-120.0633,2017,14.5916666666667,1798,769
"151","Wawona",5,37.53822,-119.6514,2017,13.2666666666667,2114,720
"152","Redwood Creek",4,36.68952,-118.9096,2017,11.15,1866,582
"153","North Fork Middle Fork Tule",3,36.20081,-118.6509,2017,14.4,1421,732
"154","South Fork Middle Fork Tule",58,36.13756,-118.5741,2017,11.5833333333333,1519,677
"155","West Fork Mojave River",2,34.28425,-117.3754,2017,15.975,1041,945
"156","Mill Creek",12,34.07808,-116.8756,2017,9.80833333333333,1265,732
"157","Whitewater Canyon",17,33.99329,-116.6627,2017,19.7666666666667,425,1288
"158","Sweetwater River",1,32.89913,-116.5865,2017,14.225,854,971
"159","Kitchen Creek",15,32.75206,-116.4522,2017,14.575,613,1133
"160","Hauser Creek",14,32.65822,-116.5323,2017,16.1666666666667,425,1283
"161","Coast Fork of Williamette",55,43.6517,-123.088,2018,11.425,1048,603
"162","Canton Creek",57,43.4137,-122.7804,2018,11.4166666666667,1138,620
"163","Rock Creek",11,43.37876,-122.9521,2018,11.8833333333333,1204,654
"164","O'Neil Creek",9,41.80979,-123.1189,2018,12.75,811,725
"165","Deep Creek",8,41.66546,-123.1134,2018,13.6,267,951
"166","Little Jameson Creek",7,39.74298,-120.704,2018,10.0083333333333,1282,679
"167","Oregon Creek",6,39.39704,-121.082,2018,16.6,1450,871
"168","Rainbow Pool",29,37.81878,-120.0073,2018,14.7916666666667,896,827
"169","Carlon",28,37.81006,-119.8568,2018,13.05,958,741
"170","Buck Meadows",27,37.77722,-120.0633,2018,15.1666666666667,901,844
"171","Wawona",5,37.53822,-119.6514,2018,13.9166666666667,965,787
"172","Redwood Creek",4,36.68952,-118.9096,2018,11.8333333333333,800,697
"173","North Fork Middle Fork Tule",3,36.20081,-118.6509,2018,15.125,611,849
"174","South Fork Middle Fork Tule",58,36.13756,-118.5741,2018,12.3,642,787
"175","West Fork Mojave River",2,34.28425,-117.3754,2018,16.6333333333333,415,1048
"176","Mill Creek",12,34.07808,-116.8756,2018,10.5416666666667,459,838
"177","Whitewater Canyon",17,33.99329,-116.6627,2018,20.475,152,1348
"178","Sweetwater River",1,32.89913,-116.5865,2018,14.6666666666667,266,1041
"179","Kitchen Creek",15,32.75206,-116.4522,2018,14.9666666666667,196,1209
"180","Hauser Creek",14,32.65822,-116.5323,2018,16.5833333333333,142,1358
"181","Coast Fork of Williamette",55,43.6517,-123.088,2019,11.25,1379,428
"182","Canton Creek",57,43.4137,-122.7804,2019,11.1666666666667,1534,454
"183","Rock Creek",11,43.37876,-122.9521,2019,11.6583333333333,1614,479
"184","O'Neil Creek",9,41.80979,-123.1189,2019,12.3416666666667,1107,632
"185","Deep Creek",8,41.66546,-123.1134,2019,13.1833333333333,368,875
"186","Little Jameson Creek",7,39.74298,-120.704,2019,8.96666666666667,1756,516
"187","Oregon Creek",6,39.39704,-121.082,2019,15.7583333333333,2020,663
"188","Rainbow Pool",29,37.81878,-120.0073,2019,13.5916666666667,1382,758
"189","Carlon",28,37.81006,-119.8568,2019,11.7166666666667,1464,689
"190","Buck Meadows",27,37.77722,-120.0633,2019,14.0416666666667,1392,786
"191","Wawona",5,37.53822,-119.6514,2019,12.6416666666667,1577,717
"192","Redwood Creek",4,36.68952,-118.9096,2019,10.3666666666667,1386,602
"193","North Fork Middle Fork Tule",3,36.20081,-118.6509,2019,13.6,1270,724
"194","South Fork Middle Fork Tule",58,36.13756,-118.5741,2019,10.7416666666667,1395,675
"195","West Fork Mojave River",2,34.28425,-117.3754,2019,14.8166666666667,1137,843
"196","Mill Creek",12,34.07808,-116.8756,2019,8.61666666666667,1504,632
"197","Whitewater Canyon",17,33.99329,-116.6627,2019,18.5416666666667,494,1183
"198","Sweetwater River",1,32.89913,-116.5865,2019,13.05,1102,782
"199","Kitchen Creek",15,32.75206,-116.4522,2019,13.35,764,977
"200","Hauser Creek",14,32.65822,-116.5323,2019,14.975,518,1180
